
t,x,y
0.000,-633.2,504
0.067,-633.1,503.9
0.133,-633.0,503.0
0.200,-632.5,503.0
0.267,-632.1,502.9
0.333,-632.0,502.8
0.400,-632.0,502.7
0.467,-632.0,502.0
0.533,-632.0,501.1
0.600,-632.0,502.3
0.667,-632.0,504.0
0.733,-632.0,500.0
0.800,-632.0,500.0
0.867,-632.0,498.0
0.933,-632.0,501.0
1.000,-632.1,501.1
1.067,-631.9,500.8
1.133,-632.0,501.0
1.200,-632.1,501.2
1.267,-632.0,501.2
1.333,-632.2,501.0
1.400,-631.9,500.9
1.467,-631.9,501.0
1.533,-632.1,501.2
1.600,-631.9,501.0
1.667,-631.9,501.0
1.733,-632.1,500.9
1.800,-632.1,500.8
1.867,-631.9,501.2
1.933,-631.9,501.0
2.000,-632.1,501.1
2.067,-632.0,501.0
2.133,-631.9,501.1
2.200,-632.0,501.1
2.267,-632.1,500.7
2.333,-632.1,501.0
2.400,-632.2,501.2
2.467,-632.0,500.9
2.533,-632.0,500.8
2.600,-632.1,501.1
2.667,-632.0,501.1
2.733,-632.0,501.2
2.800,-632.2,501.0
2.867,-631.9,501.2
2.933,-632.0,500.9
3.000,-632.0,501.1
3.067,-631.9,501.0
3.133,-632.0,501.0
3.200,-632.0,501.0
3.267,-632.1,501.0
3.333,-632.0,501.1
3.400,-632.0,501.0
3.467,-632.1,501.2
3.533,-631.9,501.1
3.600,-632.1,501.0
3.667,-632.0,501.1
3.733,-632.0,501.0
3.800,-631.9,501.0
3.867,-632.2,501.2
3.933,-632.0,500.8
4.000,-632.1,500.8
4.067,-631.9,501.1
4.133,-632.1,501.1
4.200,-631.8,501.1
4.267,-632.0,501.1
4.333,-632.3,501.2
4.400,-632.1,500.7
4.467,-631.9,500.7
4.533,-632.0,501.1
4.600,-632.1,501.0
4.667,-632.1,501.0
4.733,-632.1,501.3
4.800,-631.8,501.1
4.867,-631.9,501.1
4.933,-632.1,501.3
5.000,-632.0,500.9
5.067,-631.9,500.7
5.133,-632.2,501.0
5.200,-632.1,500.9
5.267,-632.1,501.1
5.333,-632.1,500.9
5.400,-632.0,501.1
5.467,-632.2,500.8
5.533,-632.0,501.3
5.600,-631.7,501.0
5.667,-631.9,501.0
5.733,-632.0,500.9
5.800,-631.9,500.9
5.867,-632.0,501.1
5.933,-632.0,501.1
6.000,-631.9,501.3
6.067,-632.0,501.0
6.133,-631.9,500.9
6.200,-631.8,501.0
6.267,-632.0,501.3
6.333,-631.9,501.2
6.400,-632.3,500.9
6.467,-632.1,500.9
6.533,-631.9,501.0
6.600,-632.0,501.1
6.667,-632.1,501.0
6.733,-632.0,501.1
6.800,-632.1,500.4
6.867,-631.9,500.6
6.933,-632.0,501.0
7.000,-632.0,500.9
7.067,-631.9,500.7
7.133,-632.1,501.0
7.200,-632.0,501.0
7.267,-632.2,500.8
7.333,-632.1,500.9
7.400,-632.0,501.2
7.467,-632.1,501.1
7.533,-632.0,501.2
7.600,-632.2,501.1
7.667,-632.1,500.7
7.733,-632.1,501.1
7.800,-631.8,500.8
7.867,-632.0,501.0
7.933,-632.1,501.3
8.000,-632.0,501.3
8.067,-631.9,500.9
8.133,-631.9,501.1
8.200,-632.1,500.9
8.267,-632.2,501.1
8.333,-632.2,501.0
8.400,-632.0,500.8
8.467,-632.0,500.8
8.533,-631.9,501.0
8.600,-631.9,501.3
8.667,-631.8,501.0
8.733,-632.1,500.7
8.800,-632.0,500.8
8.867,-631.9,500.9
8.933,-632.0,501.2
9.000,-632.1,501.0
9.067,-632.1,500.6
9.133,-632.1,501.1
9.200,-632.2,501.0
9.267,-632.0,501.0
9.333,-632.0,501.1
9.400,-632.1,501.3
9.467,-632.1,501.1
9.533,-632.0,500.9
9.600,-631.9,500.9
9.667,-632.1,501.0
9.733,-632.2,500.9
9.800,-632.0,501.5
9.867,-632.1,501.0
9.933,-632.2,501.1
10.000,-632.0,500.8
10.067,-632.2,500.7
10.133,-632.3,501.1
10.200,-632.2,501.1
10.267,-632.0,501.0
10.333,-631.9,501.0
10.400,-631.9,501.1
10.467,-632.0,501.1
10.533,-632.0,501.2
10.600,-632.0,501.1
10.667,-631.9,501.2
10.733,-632.1,501.0
10.800,-632.0,501.0
10.867,-632.0,501.1
10.933,-631.8,501.1
11.000,-631.8,501.1
11.067,-632.1,501.0
11.133,-632.0,501.0
11.200,-632.1,501.1
11.267,-632.0,500.7
11.333,-632.2,501.1
11.400,-631.9,500.8
11.467,-632.1,500.9
11.533,-632.0,501.1
11.600,-632.1,501.0
11.667,-632.2,500.9
11.733,-631.9,501.3
11.800,-631.9,501.0
11.867,-632.0,501.2
11.933,-631.9,501.1
12.000,-632.1,501.0
12.067,-631.9,501.1
12.133,-632.0,500.8
12.200,-632.1,501.0
12.267,-631.6,500.9
12.333,-631.9,500.9
12.400,-631.8,500.9
12.467,-632.1,501.2
12.533,-631.9,500.9
12.600,-632.5,500.6
12.667,-632.1,501.0
12.733,-632.0,501.0
12.800,-631.9,501.0
12.867,-631.8,501.3
12.933,-631.9,501.0
13.000,-632.1,501.3
13.067,-632.0,501.1
13.133,-632.0,501.1
13.200,-632.3,501.1
13.267,-632.2,500.9
13.333,-632.2,501.0
13.400,-632.0,501.1
13.467,-631.9,501.0
13.533,-631.9,501.1
13.600,-632.0,500.9
13.667,-631.9,501.0
13.733,-632.0,501.0
13.800,-632.1,500.9
13.867,-632.1,501.2
13.933,-632.1,501.3
14.000,-632.1,500.8
14.067,-632.0,500.8
14.133,-632.2,501.1
14.200,-632.2,501.0
14.267,-632.0,501.2
14.333,-632.0,501.2
14.400,-631.8,501.0
14.467,-632.1,501.4
14.533,-631.9,500.7
14.600,-632.1,501.1
14.667,-631.8,500.8
14.733,-631.8,501.3
14.800,-632.0,501.0
14.867,-632.0,500.7
14.933,-632.1,500.9
15.000,-632.1,500.9
15.067,-632.2,501.0
15.133,-632.0,500.7
15.200,-632.1,500.9
15.267,-632.1,501.2
15.333,-632.0,501.0
15.400,-632.1,500.8
15.467,-632.1,500.8
15.533,-632.0,500.9
15.600,-631.8,501.3
15.667,-632.0,501.3
15.733,-631.9,501.0
15.800,-632.0,501.2
15.867,-632.0,501.0
15.933,-632.1,500.9
16.000,-632.2,500.9
16.067,-631.9,501.4
16.133,-631.9,501.0
16.200,-632.1,500.7
16.267,-631.9,501.0
16.333,-632.0,501.1
16.400,-632.1,500.7
16.467,-631.9,500.9
16.533,-632.0,501.3
16.600,-632.1,501.2
16.667,-632.1,501.0
16.733,-632.0,501.0
16.800,-631.8,500.7
16.867,-632.2,501.3
16.933,-632.2,501.4
17.000,-631.9,500.9
17.067,-632.0,500.6
17.133,-632.3,501.1
17.200,-631.9,501.4
17.267,-632.1,501.0
17.333,-632.2,501.2
17.400,-632.0,500.9
17.467,-631.8,501.0
17.533,-632.2,501.2
17.600,-631.8,500.9
17.667,-632.0,500.9
17.733,-632.1,501.1
17.800,-632.1,500.8
17.867,-632.1,501.2
17.933,-632.1,500.8
18.000,-632.0,500.9
18.067,-632.1,501.1
18.133,-632.0,501.0
18.200,-632.1,501.3
18.267,-632.0,500.9
18.333,-632.2,501.1
18.400,-632.1,501.3
18.467,-632.1,501.2
18.533,-632.1,500.8
18.600,-632.1,501.1
18.667,-631.8,501.0
18.733,-631.9,500.7
18.800,-632.1,501.0
18.867,-632.1,500.8
18.933,-631.9,501.0
19.000,-632.0,500.8
19.067,-632.1,501.0
19.133,-632.1,500.8
19.200,-632.0,501.0
19.267,-632.0,500.9
19.333,-631.9,501.0
19.400,-632.0,501.1
19.467,-632.1,500.9
19.533,-631.9,501.0
19.600,-631.9,501.3
19.667,-632.1,501.3
19.733,-632.2,501.2
19.800,-631.9,501.0
19.867,-632.0,500.8
19.933,-631.9,501.0
20.000,-632.2,501.1
20.067,-632.0,501.2
20.133,-632.1,500.9
20.200,-631.9,501.2
20.267,-632.0,501.2
20.333,-632.0,500.8
20.400,-632.1,501.1
20.467,-632.0,501.0
20.533,-632.0,500.9
20.600,-631.8,500.9
20.667,-631.9,501.1
20.733,-632.1,500.6
20.800,-632.1,501.1
20.867,-632.1,500.9
20.933,-631.8,500.9
21.000,-632.1,501.1
21.067,-632.1,500.9
21.133,-632.0,501.0
21.200,-632.0,501.4
21.267,-632.0,501.1
21.333,-631.9,501.1
21.400,-632.0,501.0
21.467,-631.9,501.0
21.533,-631.9,501.0
21.600,-632.2,500.9
21.667,-631.9,500.9
21.733,-632.1,500.8
21.800,-632.1,501.0
21.867,-632.3,500.9
21.933,-632.1,501.2
22.000,-632.1,500.8
22.067,-631.9,501.1
22.133,-631.8,501.2
22.200,-631.9,501.0
22.267,-632.1,501.0
22.333,-631.9,501.1
22.400,-632.0,501.1
22.467,-632.1,501.1
22.533,-632.1,501.2
22.600,-631.8,501.0
22.667,-632.1,500.4
22.733,-632.0,500.7
22.800,-632.0,500.9
22.867,-632.1,500.7
22.933,-631.9,500.9
23.000,-631.8,501.0
23.067,-632.1,500.8
23.133,-632.0,501.2
23.200,-632.0,501.0
23.267,-632.0,501.1
23.333,-632.2,500.9
23.400,-632.0,500.9
23.467,-632.1,501.1
23.533,-632.0,501.2
