t,x,y
0.000,-122.0,314.5
0.067,-120.5,312.5
0.133,-113.5,306.5
0.200,-113.5,306.5
0.267,-113.2,305.6
0.333,-111.6,305.9
0.400,-109.4,309.0
0.467,-110.5,311.6
0.533,-109.8,313.7
0.600,-107.6,313.3
0.667,-105.6,311.8
0.733,-106.1,311.4
0.800,-106.0,309.0
0.867,-106.6,310.6
0.933,-107.9,312.8
1.000,-113.8,312.8
1.067,-114.7,315.0
1.133,-115.5,313.9
1.200,-116.7,313.7
1.267,-115.4,315.0
1.333,-119.5,316.0
1.400,-119.3,314.0
1.467,-119.0,311.9
1.533,-118.5,314.5
1.600,-122.2,313.0
1.667,-123.2,314.3
1.733,-124.6,312.6
1.800,-126.1,310.2
1.867,-128.1,311.1
1.933,-127.6,309.8
2.000,-124.2,308.8
2.067,-122.5,309.2
2.133,-122.5,308.3
2.200,-117.5,307.0
2.267,-117.0,306.7
2.333,-118.3,308.5
2.400,-116.9,309.8
2.467,-119.6,309.9
2.533,-121.7,310.9
2.600,-132.0,315.5
2.667,-130.2,318.2
2.733,-129.4,318.6
2.800,-132.0,322.7
2.867,-130.9,322.5
2.933,-130.3,318.7
3.000,-129.2,314.0
3.067,-129.3,317.9
3.133,-130.5,319.3
3.200,-128.9,319.0
3.267,-129.2,320.8
3.333,-127.4,318.5
3.400,-127.0,317.7
3.467,-127.0,317.0
3.533,-126.1,318.6
3.600,-128.8,317.0
3.667,-129.1,318.6
3.733,-129.9,319.4
3.800,-133.6,317.9
3.867,-135.9,316.2
3.933,-135.9,313.9
4.000,-137.5,309.8
4.067,-139.7,308.6
4.133,-141.7,310.2
4.200,-142.2,310.4
4.267,-139.7,307.4
4.333,-139.7,307.7
4.400,-136.2,305.7
4.467,-132.1,303.1
4.533,-135.0,303.4
4.600,-137.7,307.0
4.667,-137.0,309.5
4.733,-137.4,312.0
4.800,-135.9,312.4
4.867,-130.2,313.1
4.933,-128.6,314.7
5.000,-127.4,311.9
5.067,-124.3,308.5
5.133,-124.0,306.8
5.200,-123.5,307.8
5.267,-123.5,309.6
5.333,-119.9,309.6
5.400,-117.8,308.4
5.467,-117.8,307.0
5.533,-121.3,307.5
5.600,-123.3,307.4
5.667,-123.5,308.3
5.733,-122.8,306.2
5.800,-121.7,305.5
5.867,-122.0,305.4
5.933,-120.9,303.4
6.000,-118.9,304.2
6.067,-119.7,304.6
6.133,-118.9,302.5
6.200,-114.8,302.9
6.267,-112.7,305.2
6.333,-110.3,306.5
6.400,-107.1,307.5
6.467,-110.3,310.4
6.533,-110.1,309.3
6.600,-110.0,311.2
6.667,-111.6,309.8
6.733,-111.6,309.3
6.800,-110.4,310.7
6.867,-112.0,311.7
6.933,-110.3,312.2
7.000,-113.4,311.3
7.067,-102.5,311.0
7.133,-101.0,311.5
7.200,-98.50,315.0
7.267,-98.58,317.8
7.333,-96.71,320.3
7.400,-93.91,319.9
7.467,-94.76,318.0
7.533,-93.57,317.6
7.600,-89.56,318.4
7.667,-89.00,319.5
7.733,-85.12,320.5
7.800,-84.58,321.0
7.867,-83.66,320.4
7.933,-84.26,320.3
8.000,-83.83,319.8
8.067,-83.10,317.6
8.133,-81.24,320.0
8.200,-78.21,318.5
8.267,-76.97,317.9
8.333,-79.61,318.6
8.400,-78.86,319.7
8.467,-78.04,321.6
8.533,-80.39,322.4
8.600,-83.79,320.2
8.667,-85.72,321.8
8.733,-85.74,321.2
8.800,-89.35,321.3
8.867,-89.17,320.7
8.933,-88.63,315.0
9.000,-84.50,313.5
9.067,-84.50,313.5
9.133,-86.76,312.7
9.200,-87.77,308.8
9.267,-89.18,305.7
9.333,-90.34,308.9
9.400,-91.90,306.4
9.467,-91.78,303.8
9.533,-90.93,305.4
9.600,-90.61,307.6
9.667,-92.01,305.9
9.733,-91.51,305.2
9.800,-91.34,304.1
9.867,-91.53,303.3
9.933,-92.91,302.3
10.000,-92.58,304.0
10.067,-90.14,306.8
10.133,-87.66,309.5
10.200,-85.77,305.6
10.267,-87.60,305.5
10.333,-89.53,304.9
10.400,-89.33,303.2
10.467,-88.46,299.9
10.533,-91.50,299.5
10.600,-93.30,298.7
10.667,-93.37,299.6
10.733,-95.22,301.9
10.800,-96.22,302.7
10.867,-93.64,299.7
10.933,-93.82,300.7
11.000,-93.50,300.5
11.067,-90.41,303.4
11.133,-90.83,303.3
11.200,-92.67,304.4
11.267,-92.87,307.0
11.333,-95.09,307.9
11.400,-93.50,306.9
11.467,-91.64,306.1
11.533,-90.11,308.8
11.600,-91.11,309.5
11.667,-93.74,308.9
11.733,-93.28,310.6
11.800,-95.79,308.0
11.867,-95.87,304.1
11.933,-96.25,303.9
12.000,-99.34,303.8
12.067,-101.5,304.2
12.133,-102.6,305.6
12.200,-105.5,303.6
12.267,-103.2,303.2
12.333,-106.2,299.1
12.400,-101.5,292.5
12.467,-101.8,293.1
12.533,-101.6,293.7
12.600,-103.0,291.5
12.667,-105.1,290.7
12.733,-105.5,287.2
12.800,-103.5,286.9
12.867,-104.2,288.3
12.933,-107.5,291.1
13.000,-112.9,288.3
13.067,-113.6,286.5
13.133,-111.5,287.5
13.200,-108.0,284.3
13.267,-106.1,281.7
13.333,-107.6,283.8
13.400,-109.5,282.7
13.467,-110.6,283.1
13.533,-107.9,283.2
13.600,-105.6,282.2
13.667,-105.4,283.3
13.733,-106.4,284.7
13.800,-103.1,283.9
13.867,-103.8,286.0
13.933,-103.2,287.4
14.000,-108.3,289.5
14.067,-110.1,288.8
14.133,-110.1,287.1
14.200,-108.5,290.6
14.267,-111.2,289.3
14.333,-112.6,288.2
14.400,-112.5,287.4
14.467,-113.5,289.0
14.533,-114.9,284.7
14.600,-118.5,279.3
14.667,-117.9,280.0
14.733,-117.9,280.5
14.800,-119.4,283.0
14.867,-117.4,282.7
14.933,-121.0,280.3
15.000,-124.3,280.3
15.067,-123.7,279.9
