
t,x,y
0.000,306.0,-348.0
0.067,309.5,-363.5
0.133,309.5,-363.5
0.200,303.8,-331.5
0.267,306.0,-330.5
0.333,307.0,-332.2
0.400,306.6,-333.6
0.467,303.5,-335.5
0.533,304.8,-334.7
0.600,304.3,-336.2
0.667,302.7,-335.6
0.733,300.5,-334.3
0.800,295.9,-336.9
0.867,297.5,-336.6
0.933,301.0,-340.5
1.000,297.5,-344.0
1.067,300.3,-336.6
1.133,300.0,-338.5
1.200,299.7,-337.7
1.267,297.7,-337.6
1.333,302.7,-334.5
1.400,302.8,-332.3
1.467,302.9,-332.1
1.533,301.6,-329.6
1.600,298.8,-328.5
1.667,295.0,-327.3
1.733,297.6,-327.5
1.800,293.5,-325.5
1.867,292.5,-326.0
1.933,291.8,-326.0
2.000,292.8,-323.7
2.067,294.9,-319.5
2.133,296.0,-318.4
2.200,296.2,-318.5
2.267,292.3,-318.2
2.333,291.8,-321.0
2.400,290.6,-321.3
2.467,289.4,-318.8
2.533,288.5,-320.5
2.600,288.0,-320.3
2.667,288.2,-319.7
2.733,288.7,-320.7
2.800,288.3,-318.6
2.867,287.4,-318.5
2.933,285.6,-320.4
3.000,286.6,-321.3
3.067,290.2,-322.4
3.133,290.9,-324.7
3.200,290.9,-324.9
3.267,293.3,-326.5
3.333,293.5,-327.5
3.400,290.5,-327.6
3.467,289.5,-324.5
3.533,290.8,-324.5
3.600,288.6,-323.3
3.667,289.7,-324.3
3.733,289.4,-324.6
3.800,288.7,-324.5
3.867,288.9,-325.2
3.933,295.0,-331.0
4.000,295.8,-330.3
4.067,296.0,-330.7
4.133,296.7,-330.2
4.200,297.7,-328.6
4.267,298.5,-330.0
4.333,297.0,-328.6
4.400,293.9,-328.7
4.467,296.0,-326.5
4.533,293.5,-325.9
4.600,295.5,-326.5
4.667,296.6,-326.1
4.733,296.9,-326.5
4.800,299.9,-327.2
4.867,300.0,-329.7
4.933,297.4,-327.7
5.000,300.0,-328.7
5.067,304.4,-329.2
5.133,304.3,-327.9
5.200,306.6,-327.9
5.267,307.2,-329.2
